Journal Title,ISSN,ESSN,RoMEO Record ID,Updated
"Journal of Interamerican Studies and World Affairs",0022-1937,,1499,2014-03-18
"Journal of Intercollegiate Sport",1941-6342,1941-417X,300,2014-07-11
"Journal of Interconnection Networks",0219-2659,1793-6713,155,2014-10-29
"Journal of Intercultural Communication",,1404-1634,1721,2013-12-09
"Journal of Intercultural Communication Research",1747-5759,1747-5767,1140,2014-03-26
"Journal of Intercultural Management",,2080-0150,1851,2014-05-20
"Journal of Intercultural Studies",0725-6868,1469-9540,1140,2014-03-26
"Journal of Interdisciplinary and Multidisciplinary Research",1945-3019,,180,2010-09-27
"Journal of Interdisciplinary Dentistry",2229-5194,,89,2014-08-26
"Journal of Interdisciplinary Economics",0260-1079,,65,2013-06-19
"Journal of Interdisciplinary History",0022-1953,1530-9169,1124,2013-05-23
"Journal of Interdisciplinary Mathematics",0972-0502,2169-012X,1605,2014-03-26
"Journal of Interferon and Cytokine Research",1079-9907,1557-7465,50,2010-11-19
"Journal of Intergenerational Relationships",1535-0770,1535-0932,1139,2014-03-26
"Journal of Interior Design",1071-7641,1939-1668,580,2014-03-18
"Journal of Interlibrary Loan, Document Delivery and Electronic Reserve",1072-303X,1540-3572,1134,2014-01-29
"Journal of Internal Medicine",0954-6820,1365-2796,2050,2014-08-28
"Journal of International Accounting, Auditing and Taxation",1061-9518,,30,2014-05-16
"Journal of International Accounting Research",1542-6297,1558-8025,633,2010-09-03
"Journal of International Agricultural Trade and Development",,1556-8520,1800,2014-03-06
"Journal of International and Comparative Social Policy",2169-9763,2169-978X,1139,2014-03-26
"Journal of International and Cross-Cultural Studies",1948-5786,,180,2010-09-27
"Journal of International and Intercultural Communication",1751-3057,1751-3065,1140,2014-09-15
"Journal of International Arbitration",0255-8106,,258,2013-06-18
"Journal of International Biotechnology Law",1612-6068,1612-6076,414,2014-04-01
"Journal of International Business and Cultural Studies",1941-5087,,692,2010-07-26
"Journal of International Business Studies",0047-2506,1478-6990,210,2013-07-29
"Journal of International Clinical Dental Research Organization",2231-0754,2231-5357,89,2014-08-26
"Journal of International Commerce, Economics and Policy",1793-9933,1793-9941,155,2014-10-29
"Journal of International Communication",1321-6597,,1140,2014-09-16
"Journal of International Consumer Marketing",0896-1530,1528-7068,1140,2014-09-16
"Journal of International Criminal Justice",1478-1387,1478-1395,1481,2013-03-26
"Journal of International Criminal Justice Research",2167-566X,2167-5643,692,2014-05-13
"Journal of International Development",0954-1748,1099-1328,2052,2014-08-28
"Journal of International Dispute Settlement",2040-3585,2040-3593,1481,2013-03-26
"Journal of International Economic Law",1369-3034,1464-3758,1480,2013-03-26
"Journal of International Economics",0022-1996,,30,2014-05-16
"Journal of International Education in Business",2046-469X,,31,2014-09-15
"Journal of International Education Research",2158-0979,2158-0987,1513,2013-04-16
"Journal of International Energy Policy",2165-252X,2165-2538,1513,2013-04-16
"Journal of International Entrepreneurship",1570-7385,1573-7349,74,2014-05-16
"Journal of International Financial Management and Accounting",0954-1314,1467-646X,2052,2014-08-28
"Journal of International Financial Markets, Institutions and Money",1042-4431,,30,2014-05-16
"Journal of International Food and Agribusiness Marketing",0897-4438,1528-6983,1140,2014-09-16
"Journal of International Humanitarian Legal Studies",1878-1373,1878-1527,154,2014-04-08
"Journal of International Management",1075-4253,,30,2014-05-16
"Journal of International Maritime Law",1478-8586,,619,2013-03-13
"Journal of International Marketing",1069-031X,1547-7215,637,2013-08-01
"Journal of International Medical Research",0300-0605,1473-2300,1403,2013-09-23
"Journal of International Migration and Integration",1488-3473,1874-6365,74,2014-09-23
"Journal of International Money and Finance",0261-5606,,30,2014-05-16
"Journal of International Peacekeeping",1875-4104,1875-4112,154,2014-04-08
"Journal of International Political Theory",1755-0882,1755-1722,65,2014-06-24
"Journal of International Real Estate and Construction Studies",,2153-6813,1800,2014-03-06
"Journal of International Relations and Development",1408-6980,1581-1980,210,2013-07-29
"Journal of International Society of Preventive and Community Dentistry",2231-0762,,89,2014-08-26
"Journal of International Trade and Economic Development",0963-8199,1469-9559,1140,2014-03-26
"Journal of International Trade Law and Policy",1477-0024,,31,2014-09-15
"Journal of International Wildlife Law and Policy",1388-0292,1548-1476,1140,2014-09-23
"Journal of Internet Commerce",1533-2861,,1140,2014-03-26
"Journal of Internet Services and Applications",1869-0238,1869-0238,948,2014-02-28
"Journal of Interpersonal Violence",0886-2605,1552-6518,65,2013-03-11
"Journal of Interprofessional Care",1356-1820,1469-9567,348,2013-10-29
"Journal of Intervention and Statebuilding",1750-2977,1750-2985,1140,2014-03-26
"Journal of Interventional Cardiac Electrophysiology",1383-875X,1572-8595,74,2014-09-23
"Journal of Interventional Cardiology",0896-4327,1540-8183,2050,2014-08-28
"Journal of Interventional Gastroenterology",2154-1280,2154-1299,218,2013-09-09
"Journal of Interventional Oncology",1916-0518,1916-0526,485,2012-03-05
"Journal of Inverse and Ill-posed Problems",0928-0219,1569-3945,414,2014-04-01
"Journal of Invertebrate Pathology",0022-2011,,30,2014-05-16
"Journal of Investigative and Clinical Dentistry",2041-1618,2041-1626,2050,2014-08-28
"Journal of Investigative Dermatology",0022-202X,1523-1747,1456,2013-03-20
"Journal of Investigative Dermatology Symposium Proceedings",1087-0024,1529-1774,54,2013-03-06
"Journal of Investigative Medicine",1081-5589,1708-8267,48,2013-10-23
"Journal of Investigative Medicine High Impact Case Reports",2324-7096,,1402,2013-08-20
"Journal of Investigative Psychology and Offender Profiling",1544-4759,1544-4767,2052,2014-08-28
"Journal of Investigative Surgery",0894-1939,1521-0553,348,2013-10-29
"Journal of Investment Compliance",1528-5812,,31,2014-09-15
"Journal of Iron and Steel Research, International",1006-706X,,30,2014-05-16
"Journal of Irrigation and Drainage Engineering",0733-9437,1943-4774,14,2014-07-09
"Journal of Islamic Accounting and Business Research",1759-0817,,31,2014-09-15
"Journal of Islamic Archaeology",,2051-9729,482,2014-08-20
"Journal of Islamic Law and Culture",1528-817X,1753-4534,193,2014-03-26
"Journal of Islamic Manuscripts",1878-4631,1878-464X,154,2014-08-27
"Journal of Islamic Marketing",1759-0833,,31,2014-09-15
"Journal of Islamic Philosophy",1536-4569,1536-4755,1000,2012-03-22
"Journal of Islamic Studies",0955-2340,1471-6917,1617,2013-08-14
"Journal of Island and Coastal Archaeology",1556-4894,1556-1828,1140,2014-03-26
"Journal of Israeli History",1353-1042,1744-0548,1140,2014-03-26
"Journal of Italian Cinema and Media Studies",2047-7368,2047-7376,409,2013-03-13
"Journal of Japan Institute of Metals",0021-4876,,338,2013-12-09
"Journal of Japanese and Korean Cinema",1756-4905,,409,2013-03-13
"Journal of Jesuit Studies",2214-1324,2214-1332,154,2014-04-08
"Journal of Jewish Education",1524-4113,1554-611X,1140,2014-03-26
"Journal of Jewish Languages",2213-4387,2213-4638,154,2014-04-08
"Journal of Jewish Studies",,0022-2097,1892,2014-04-24
"Journal of Jewish Thought and Philosophy",1053-699X,1477-285X,154,2014-08-27
"Journal of Judicial Administration",1036-7918,,164,2013-03-18
"Journal of K-Theory",1865-2433,1865-5394,2129,2014-10-09
"Journal of Kerman University of Medical Sciences",1023-9510,2008-2843,1414,2014-08-08
"Journal of King Saud University (Computer and Information Sciences)",1319-1578,,30,2014-05-16
"Journal of King Saud University (Engineering Science)",1018-3639,,30,2014-05-16
"Journal of King Saud University (Languages and Translation)",2210-8319,,30,2014-05-16
"Journal of King Saud University - Computer and Information Sciences",1319-1578,,30,2014-05-16
"Journal of King Saud University - Engineering Science",1018-3639,,30,2014-05-16
"Journal of King Saud University - Languages and Translation",2210-8319,,30,2014-05-16
"Journal of King Saud University - Science",1018-3647,,30,2014-05-16
"Journal of Knee Surgery",1538-8506,1938-2480,366,2014-05-28
"Journal of Knee Surgery Reports",,2326-2729,2107,2014-09-15
"Journal of Knot Theory and Its Ramifications",0218-2165,1793-6527,155,2014-10-29
"Journal of Knowledge-based Innovation in China",1756-1418,,31,2014-09-15
"Journal of Knowledge Management",1367-3270,,31,2014-09-15
"Journal of KONBiN",,2083-4608,1851,2014-05-20
"Journal of Korean Medical Science",1011-8934,1598-6357,739,2010-09-03
"Journal of Korean Religions",2093-7288,2167-2040,136,2014-01-14
"Journal of Korean Studies",0731-1613,,582,2010-08-31
"Journal of Labelled Compounds and Radiopharmaceuticals",0362-4803,1099-1344,2050,2014-08-28
"Journal of Labor and Employment Law",8756-2995,,632,2011-08-12
"Journal of Labor Economics",0734-306X,1537-5307,77,2014-02-24
"Journal of Labor Research",0195-3613,1936-4768,74,2014-09-23
"Journal of Laboratory and Clinical Medicine",0022-2143,,30,2014-05-16
"Journal of Laboratory Automation",2211-0682,,65,2013-03-11
"Journal of Laboratory Physicians",0974-2727,0974-7826,89,2014-08-26
"Journal of Land and Rural Studies",2321-0249,,65,2013-07-03
"Journal of Land Use Science",1747-423X,1747-4248,1141,2014-03-26
"Journal of Landscape Architecture",1862-6033,,1140,2014-03-26
"Journal of Landscape Ecology",,1805-4196,1851,2014-05-20
"Journal of Language Aggression and Conflict",2213-1272,2213-1280,372,2014-10-13
"Journal of Language and Politics",1569-2159,1569-9862,372,2010-08-24
"Journal of Language and Sexuality",2211-3770,2211-3789,372,2012-02-15
"Journal of Language and Social Psychology",0261-927X,1552-6526,65,2013-03-11
"Journal of Language Contact",1877-4091,1955-2629,154,2014-08-27
"Journal of Language, Identity and Education",1534-8458,1532-7701,1140,2014-03-26
"Journal of Laparoendoscopic and Advanced Surgical Techniques",1092-6429,1557-9034,50,2010-11-19
"Journal of Laryngology and Otology",0022-2151,1748-5460,2127,2014-10-07
"Journal of Laryngology and Voice",2230-9748,,89,2014-08-26
"Journal of Laser Applications",1042-346X,1938-1387,304,2011-08-12
"Journal of Late Antiquity",1939-6716,1942-1273,96,2014-02-03
"Journal of Latin American and Caribbean Anthropology",1935-4932,1935-4940,110,2014-07-09
"Journal of Latin American Cultural Studies",1356-9325,1469-9575,1140,2014-03-26
"Journal of Latin American Geography",1545-2476,,173,2010-08-05
"Journal of Latin American Studies",0022-216X,1469-767X,2128,2014-10-07
"Journal of Latina/o Psychology",,2163-0070,12,2012-02-28
"Journal of Latinos and Education",1534-8431,1532-771X,1140,2014-03-26
"Journal of Law and Commerce",0733-2491,2164-7984,1850,2014-07-11
"Journal of Law and Economics",0022-2186,1537-5285,77,2014-02-24
"Journal of Law and Medicine",1320-159X,,164,2013-03-18
"Journal of Law and Religion",0748-0814,,2130,2014-10-09
"Journal of Law and Society",0263-323X,1467-6478,580,2014-03-18
"Journal of Law, Economics, and Organization",8756-6222,1465-7341,1481,2013-03-26
"Journal of Law, Ethics and Intellectual Property",1948-576X,,180,2010-09-27
"Journal of Law, Medicine and Ethics",1073-1105,1748-720X,1499,2014-03-18
"Journal of Law, Religion and State",2212-6465,2212-4810,154,2014-04-08
"Journal of Leadership Accountability and Ethics",1913-8059,,1602,2013-08-08
"Journal of Leadership and Organizational Studies",1548-0518,1939-7089,65,2013-03-11
"Journal of Leadership Studies",1935-2611,1935-262X,1499,2014-03-18
"Journal of Learning Development in Higher Education",,1759-667X,991,2013-03-07
"Journal of Learning Disabilities",0022-2194,1538-4780,65,2013-03-11
"Journal of Learning Disabilities and Offending Behaviour",2042-0927,2042-8693,31,2014-09-15
"Journal of Legal Affairs and Dispute Resolution in Engineering and Construction",1943-4162,1943-4170,14,2014-07-09
"Journal of Legal Analysis",2161-7201,1946-5319,1109,2013-03-28
"Journal of Legal Aspects of Sport",1072-0316,2325-2162,300,2014-08-01
"Journal of Legal History",0144-0365,1744-0564,1140,2014-03-26
"Journal of Legal Issues and Cases in Business",1949-999X,,692,2010-07-26
"Journal of Legal Medicine",0194-7648,1521-057X,1139,2014-03-26
"Journal of Legal Pluralism and Unofficial Law",0732-9113,2305-9931,1140,2014-03-26
"Journal of Legal Studies",0047-2530,1537-5366,77,2014-02-24
"Journal of Legal Studies Education",0896-5811,1744-1722,580,2014-03-18
"Journal of Legislative Studies",1357-2334,1743-9337,1140,2014-03-26
"Journal of Lesbian Studies",1089-4160,1540-3548,1139,2014-03-26
"Journal of Leukocyte Biology",0741-5400,,664,2011-01-06
"Journal of LGBT Health Research",1557-4091,1557-4105,193,2014-03-26
"Journal of LGBT Issues in Counseling",1553-8605,1553-8338,1139,2014-03-26
"Journal of LGBT Youth",1936-1653,1936-1661,1139,2014-03-26
"Journal of Libertarian Studies",0363-2873,,824,2010-09-27
"Journal of Librarianship and Information Science",0961-0006,1741-6477,65,2013-03-11
"Journal of Library Administration",0193-0826,1540-3564,1134,2014-01-29
"Journal of Library and Information Services in Distance Learning",1533-290X,1533-2918,1134,2014-01-29
"Journal of Library Metadata",1938-6389,1937-5034,1134,2014-01-29
"Journal of Lie Theory",0949-5932,,946,2011-02-10
"Journal of Life Sciences",1934-7391,1934-7405,1203,2014-08-08
"Journal of Lightwave Technology",0733-8724,1558-2213,108,2014-09-08
"Journal of Limnology",,1723-8633,644,2013-09-09
"Journal of Linguistic Anthropology",1055-1360,1548-1395,110,2014-07-09
"Journal of Linguistic Geography",2049-7547,,2130,2014-10-09
"Journal of Linguistics",0022-2267,1469-7742,2130,2014-10-09
"Journal of Linguistics/Jazykovedný casopis",,0021-5597,1851,2014-05-20
"Journal of Lipid Research",0022-2275,1539-7262,113,2014-09-05
"Journal of Lipids",2090-3030,2090-3049,100,2013-03-20
"Journal of Liposome Research",0898-2104,1532-2394,348,2013-10-29
"Journal of Liquid Chromatography and Related Technologies",1082-6076,1520-572X,1141,2014-03-26
"Journal of Literacy Research",1086-296X,1554-8430,65,2013-03-11
"Journal of Literary and Cultural Disability Studies",1757-6458,1757-6466,620,2013-08-19
"Journal of Literary Semantics",0341-7638,1613-3838,414,2014-04-01
"Journal of Literary Studies",0256-4718,1753-5387,1600,2014-03-26
"Journal of Literary Theory",1862-5290,1862-8990,414,2014-04-01
"Journal of Literature and Art Studies",2159-5836,,1203,2014-08-08
"Journal of Literature, Language and Linguistics",1948-5778,,180,2010-09-27
"Journal of Local and Global Health Perspectives",2225-9228,,1007,2013-06-17
"Journal of Location Based Services",1748-9725,1748-9733,1141,2014-03-26
"Journal of Logic and Algebraic Programming",1567-8326,,30,2014-05-16
"Journal of Logic and Analysis",,1759-9008,1625,2013-08-15
"Journal of Logic and Computation",0955-792X,1465-363X,1472,2013-03-26
"Journal of Logic, Language and Information",0925-8531,1572-9583,74,2014-09-23
"Journal of Long-Term Effects of Medical Implants",1050-6934,,418,2014-06-03
"Journal of Loss and Trauma",1532-5024,1532-5032,1139,2014-03-26
"Journal of Loss and Trauma: International Perspectives on Stress and Coping",1532-5024,1532-5032,1139,2014-03-26
"Journal of Loss Prevention in the Process Industries",0950-4230,,30,2014-05-16
"Journal of Low Power Electronics and Applications",,2079-9268,487,2010-09-06
"Journal of Low Temperature Physics",0022-2291,1573-7357,74,2014-09-23
"Journal of Lower Genital Tract Disease",1089-2591,1526-0976,48,2013-10-23
"Journal of Luminescence",0022-2313,,30,2014-05-16
"Journal of Machine Learning Technologies",2229-3981,2229-399X,994,2013-08-09
"Journal of Machinery Manufacture and Reliability",1052-6188,1934-9394,141,2010-09-23
"Journal of Machining and Forming Technologies",,1947-4369,1800,2014-03-06
"Journal of Macroeconomics",0164-0704,,30,2014-05-16
"Journal of Macromarketing",0276-1467,1552-6534,65,2013-03-11
"Journal of Macromolecular Science Part A Pure and Applied Chemistry",1060-1325,1520-5738,1141,2014-03-26
"Journal of Macromolecular Science Part B Physics",0022-2348,1525-609X,1141,2014-03-26
"Journal of Magnetic Resonance",1090-7807,,30,2014-05-16
"Journal of Magnetic Resonance Imaging",1053-1807,1522-2586,580,2014-03-18
"Journal of Magnetism",1687-9821,1687-983X,100,2013-03-20
"Journal of Magnetism and Magnetic Materials",0304-8853,,30,2014-05-16
"Journal of Magnetohydrodynamics, Plasma and Space Research",,1083-4729,1800,2014-03-06
"Journal of Mahatma Gandhi Institute of Medical Sciences",0971-9903,,89,2014-08-26
"Journal of Malaria Research",,1939-5906,1800,2014-03-06
"Journal of Mammalian Evolution",1064-7554,1573-7055,74,2014-09-23
"Journal of Mammalogy",1545-1542,,788,2010-08-18
"Journal of Mammary Gland Biology and Neoplasia",1083-3021,1573-7039,74,2014-05-16
"Journal of Management",0149-2063,1557-1211,65,2013-03-11
"Journal of Management Accounting Research",1049-2127,1558-8033,633,2010-09-03
"Journal of Management and Governance",1385-3457,1572-963X,74,2014-09-23
"Journal of Management and Marketing in Healthcare",1753-3031,1753-304X,121,2014-01-22
"Journal of Management and Marketing Research",,1941-3408,692,2010-09-27
"Journal of Management and Organization",1833-3672,1839-3527,2130,2014-10-09
"Journal of Management and Strategy",1923-3965,1923-3973,915,2014-07-28
"Journal of Management and Sustainability",1925-4725,1925-4733,914,2014-08-22
"Journal of Management Control",,2191-477X,74,2014-09-23
"Journal of Management Development",0262-1711,,31,2014-09-15
"Journal of Management Education",1052-5629,1552-6658,65,2013-08-20
"Journal of Management History",1751-1348,,31,2014-09-15
"Journal of Management History (Archive)",1355-252X,,31,2014-09-15
"Journal of Management in Engineering",0742-597X,1943-5479,14,2014-07-09
"Journal of Management in Medicine",0268-9235,,31,2014-09-15
"Journal of Management Information Systems",0742-1222,,628,2010-08-09
"Journal of Management Inquiry",1056-4926,1552-6542,65,2013-08-20
"Journal of Management Policy and Practice",1913-8067,,1602,2013-08-08
"Journal of Management Research",,1941-899X,1849,2014-07-03
"Journal of Management, Spirituality and Religion",1476-6086,1942-258X,1140,2014-03-26
"Journal of Management Studies",0022-2380,1467-6486,2052,2014-08-28
"Journal of Managerial Psychology",0268-3946,,31,2014-09-15
"Journal of Manipulative and Physiological Therapeutics",0161-4754,,30,2014-05-16
"Journal of Manual and Manipulative Therapy",1066-9817,2042-6186,121,2014-01-22
"Journal of Manufacturing Processes",1526-6125,,30,2014-05-16
"Journal of Manufacturing Science and Engineering",1087-1357,1528-8935,116,2013-12-03
"Journal of Manufacturing Systems",0278-6125,,30,2014-05-16
"Journal of Manufacturing Technology Management",1741-038X,,31,2014-09-15
"Journal of Manufacturing Technology Research",,1943-8095,1800,2014-03-06
"Journal of Map and Geography Libraries",1542-0353,1542-0361,1134,2014-01-29
"Journal of Maps",,1744-5647,1141,2014-03-26
"Journal of Marine and Island Cultures",2212-6821,,30,2014-05-16
"Journal of Marine Biology",1687-9481,1687-949X,100,2013-03-20
"Journal of Marine Biotechnology",0941-2905,1432-1408,74,2014-05-16
"Journal of Marine Environmental Engineering",1061-026X,1029-0427,503,2013-10-08
"Journal of Marine Science and Application",1671-9433,1993-5048,74,2014-09-23
"Journal of Marine Science and Engineering",,2077-1312,487,2013-06-21
"Journal of Marine Science and Technology",0948-4280,1437-8213,74,2014-09-23
"Journal of Marine Science: Research & Development",,2155-9910,672,2014-10-02
"Journal of Marine Systems",0924-7963,,30,2014-05-16
"Journal of Marital and Family Therapy",0194-472X,1752-0606,580,2014-03-18
"Journal of Maritime Archaeology",1557-2285,1557-2293,74,2014-09-23
"Journal of Market-Focused Management",1382-3019,1572-8846,74,2014-05-16
"Journal of Marketing",0022-2429,1547-7185,637,2013-08-01
"Journal of Marketing Analytics",2050-3326,,210,2013-09-10
"Journal of Marketing and Operations Management Research",,1949-4912,1800,2014-03-06
"Journal of Marketing Channels",1046-669X,1540-7039,1140,2014-03-26
"Journal of Marketing Communications",1352-7266,1466-4445,1140,2014-03-26
"Journal of Marketing Development and Competotoveness",2155-2843,,1602,2013-08-08
"Journal of Marketing Education",0273-4753,1552-6550,65,2013-03-11
"Journal of Marketing for Higher Education",0884-1241,1540-7144,1140,2014-03-26
"Journal of Marketing Management",0267-257X,1472-1376,328,2013-08-29
"Journal of Marketing Practice: Applied Marketing Science",1355-2538,,31,2014-09-15
"Journal of Marketing Research",0022-2437,1547-7193,637,2013-08-01
"Journal of Marriage and Family",0022-2445,1741-3737,580,2014-03-18
"Journal of Mass Media Ethics",0890-0523,1532-7728,1140,2014-03-26
"Journal of Mass Spectrometry",1076-5174,1096-9888,2050,2014-08-28
"Journal of Material Culture",1359-1835,1460-3586,65,2013-03-11
"Journal of Material Cycles and Waste Management",1438-4957,1611-8227,74,2014-09-23
"Journal of Materials Chemistry",0959-9428,1364-5501,63,2013-03-21
"Journal of Materials Chemistry. A",2050-7488,2050-7496,63,2013-10-28
"Journal of Materials Chemistry. B",2050-750X,,63,2013-10-28
"Journal of Materials Chemistry. C",2050-7526,,63,2013-10-28
"Journal of Materials Engineering",0931-7058,,74,2014-05-16
"Journal of Materials Engineering and Performance",1059-9495,1544-1024,259,2014-09-23
"Journal of Materials for Energy Systems",0162-9719,,74,2014-05-16
"Journal of Materials in Civil Engineering",0899-1561,1943-5533,14,2014-07-09
"Journal of Materials Processing Technology",0924-0136,,30,2014-05-16
"Journal of Materials Research",0884-2914,2044-5326,2127,2014-10-07
"Journal of Materials Science",0022-2461,1573-4803,74,2014-09-23
"Journal of Materials Science and Engineering",,1934-8959,1203,2012-09-27
"Journal of Materials Science and Engineering A",2161-6213,,1203,2012-09-27
"Journal of Materials Science and Engineering B",2161-6221,,1203,2012-09-27
"Journal of Materials Science and Technology",1005-0302,,30,2014-05-16
"Journal of Materials Science Letters",0261-8028,1573-4811,74,2014-05-16
"Journal of Materials Science: Materials in Electronics",0957-4522,1573-482X,74,2014-09-23
"Journal of Materials Science: Materials in Medicine",0957-4530,1573-4838,74,2014-09-23
"Journal of Materials Science Research",1927-0585,1927-0593,914,2014-08-15
"Journal of Materials Shaping Technology",0931-704X,,74,2014-05-16
"Journal of Materials Synthesis and Processing",1064-7562,1573-4870,74,2014-05-16
"Journal of Maternal-Fetal and Neonatal Medicine",1476-7058,1476-4954,348,2013-10-29
"Journal of Maternal-Fetal Investigation",0939-6322,,74,2014-05-16
"Journal of Maternal-Fetal Medicine",1057-0802,1520-6661,1499,2014-03-18
"Journal of Mathematical Analysis and Applications",0022-247X,,30,2014-05-16
"Journal of Mathematical Behavior",0732-3123,,30,2014-05-16
"Journal of Mathematical Biology",0303-6812,1432-1416,74,2014-09-23
"Journal of Mathematical Chemistry",0259-9791,1572-8897,74,2014-09-23
"Journal of Mathematical Cryptology",1862-2976,1862-2984,414,2014-04-01
"Journal of Mathematical Economics",0304-4068,,30,2014-05-16
"Journal of Mathematical Fluid Mechanics",1422-6928,1422-6952,74,2014-09-23
"Journal of Mathematical Imaging and Vision",0924-9907,1573-7683,74,2014-09-23
"Journal of Mathematical Logic",0219-0613,1793-6691,155,2014-10-29
"Journal of Mathematical Modelling and Algorithms",1570-1166,1572-9214,74,2014-05-16
"Journal of Mathematical Neuroscience",,2190-8567,22,2013-02-25
"Journal of Mathematical Physics",0022-2488,1089-7658,7,2013-10-04
"Journal of Mathematical Psychology",0022-2496,,30,2014-05-16
"Journal of Mathematical Sciences",1072-3374,1573-8795,74,2014-09-23
"Journal of Mathematical Sociology",0022-250X,1545-5874,1140,2014-03-26
"Journal of Mathematics and Music",1745-9737,1745-9745,1141,2014-03-26
"Journal of Mathematics and Statistics",,1549-3644,2131,2014-10-29
"Journal of Mathematics and System Science",2159-5291,2159-5305,1203,2014-08-08
"Journal of Mathematics and the Arts",1751-3472,1751-3480,1141,2014-03-26
"Journal of Mathematics in Industry",,2190-5983,948,2013-03-07
"Journal of Mathematics Research",1916-9795,1916-9809,914,2014-08-15
"Journal of Mathematics Teacher Education",1386-4416,1573-1820,74,2014-09-23
"Journal of Maxillofacial and Oral Surgery",0972-8279,0974-942X,74,2014-09-23
"Journal of Mechanical Design",1050-0472,1528-9001,116,2013-12-03
"Journal of Mechanical Science and Technology",1738-494X,1976-3824,74,2014-05-16
"Journal of Mechanics",1727-7191,1811-8216,2127,2014-10-07
"Journal of Mechanics Engineering and Automation",2159-5275,2159-5283,1203,2014-08-08
"Journal of Mechanics in Medicine and Biology",0219-5194,1793-6810,155,2014-10-29
"Journal of Mechanics of Materials and Structures",,1559-3959,1758,2014-01-03
"Journal of Mechanisms and Robotics",1942-4302,1942-4310,116,2013-12-03
"Journal of Mechatronics and Applications",2090-018X,2090-0198,100,2013-03-20
"Journal of Mechatronics and Intelligent Manufacturing",,1949-4904,1800,2014-03-06
"Journal of Media and Communication Studies",2141-2545,,213,2014-10-16
"Journal of Media and Religion",1534-8423,1534-8415,1140,2014-03-26
"Journal of Media Economics",0899-7764,1532-7736,1140,2014-03-26
"Journal of Media Law",1757-7632,1757-7640,1286,2012-07-17
"Journal of Media Law and Ethics",1940-9370,1940-9389,351,2010-09-02
"Journal of Media Literacy Education",,2167-8715,1935,2014-05-22
"Journal of Media Practice",1468-2753,,409,2013-03-13
"Journal of Media Psychology",1864-1105,,165,2011-11-14
"Journal of Media Sociology",1940-9397,1940-9400,351,2010-09-02
"Journal of Medical and Biological Sciences",1934-7189,,180,2010-09-27
"Journal of Medical and Pharmaceutical Innovation",,2347-8136,1796,2014-03-03
"Journal of Medical Biochemistry",,1452-8266,1851,2014-05-20
"Journal of Medical Biography",0967-7720,1758-1087,65,2013-06-24
"Journal of Medical Case Reports",,1752-1947,22,2013-02-25
"Journal of Medical Colleges of PLA",1000-1948,,30,2014-05-16
"Journal of Medical Devices",1932-6181,1932-619X,116,2013-12-03
"Journal of Medical Economics (JME)",1369-6998,1941-837X,348,2013-10-29
"Journal of Medical Engineering and Technology",0309-1902,1464-522X,348,2013-10-29
"Journal of Medical Entomology",0022-2585,1938-2928,267,2013-04-03
"Journal of Medical Ethics",0306-6800,1473-4257,25,2013-10-28
"Journal of Medical Ethics and History of Medicine",,2008-0387,1208,2012-03-29
"Journal of Medical Genetics",0022-2593,1468-6244,25,2013-10-28
"Journal of Medical Humanities",1041-3545,1573-3645,74,2014-09-23
"Journal of Medical Hypotheses and Ideas",2251-7294,,30,2014-05-16
"Journal of Medical Imaging and Radiation Oncology",1754-9477,1754-9485,2050,2014-08-28
"Journal of Medical Imaging and Radiation Sciences",1939-8654,,30,2014-05-16
"Journal of Medical Internet Research",1439-4456,1438-8871,960,2014-03-24
"Journal of Medical Marketing",1745-7904,1745-7912,210,2013-07-29
"Journal of Medical Microbiology",0022-2615,1473-5644,69,2014-09-05
"Journal of Medical Nutrition and Nutraceuticals",2278-1870,2278-019X,89,2014-08-26
"Journal of Medical Physics",0971-6203,1998-3913,89,2014-08-26
"Journal of Medical Primatology",0047-2565,1600-0684,2050,2014-08-28
"Journal of Medical Radiation Sciences",,2051-3909,1760,2014-07-21
"Journal of Medical Sciences",1682-4474,1812-5727,945,2012-07-13
"Journal of Medical Screening",0969-1413,1475-5793,65,2013-06-24
"Journal of Medical Society",0972-4958,,89,2014-08-26
"Journal of Medical Systems",0148-5598,1573-689X,74,2014-09-23
"Journal of Medical Toxicology",1556-9039,1937-6995,74,2014-09-23
"Journal of Medical Ultrasonics",1346-4523,1613-2254,74,2014-09-23
"Journal of Medical Ultrasound",0929-6441,,30,2014-05-16
"Journal of Medical Virology",0146-6615,1096-9071,2050,2014-08-28
"Journal of Medicinal Chemistry",0022-2623,1520-4804,4,2014-08-07
"Journal of Medicinal Food",1096-620X,1557-7600,50,2010-11-19
"Journal of Medicine",1997-9797,2075-5384,918,2011-10-07
"Journal of Medicine and Movies",1885-5210,,1333,2012-09-12
"Journal of Medicine and Philosophy",0360-5310,1744-5019,1112,2013-09-11
"Journal of Medicine and the Person",2035-9411,2036-3877,74,2014-09-23
"Journal of Medieval and Early Modern Studies",1082-9636,1527-8263,166,2014-07-11
"Journal of Medieval History",1304-4184,1873-1279,1140,2014-03-26
"Journal of Medieval Iberian Studies",1754-6559,1754-6567,1140,2014-03-26
"Journal of Medieval Religious Cultures",1947-6566,2153-9650,435,2010-09-06
"Journal of Mediterranean Archaeology",0952-7648,1743-1700,482,2014-06-06
"Journal of Membrane Biology",0022-2631,1432-1424,74,2014-09-25
"Journal of Membrane Science",0376-7388,,30,2014-05-16
